TIME,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1
Europäische Union ,146 319 367,203 344 040,234 424 158,171 044 150,114 096 160,5 561 675,60 178 146,29 577 380,19 368 281,41 803 876,125 826 671,105 167 113,86 451 718,167 483 960,204 370 923,:,:
Deutschland,25 188 515,33 664 541,36 831 804,28 737 147,18 436 678,1 130 262,7 869 282,3 875 035,2 489 951,5 662 451,16 472 869,14 603 859,10 769 682,23 490 075,26 869 754,20 852 271,17 352 295
