Jahr,2015,2016,2017,2018,2019,2020,2021
Personenverkehr,"112,9587829","115,276894","110,5358946","111,188862","111,9632562","88,21376456","88,62521829"
Gueterverkehr,"128,2560774","132,4108193","135,4676957","135,555223","136,5161364","131,0932027","137,4135812"
